Block Number,Tx Hash,From,To,Value,Data,Deocde_data
3119,0xcbf3b7bc2303d5b992ea022e8d5a516e1df85849f3e376805fb5ce62701a8472,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0xE2DB813E8F0E0D88205ff29bf45904831529B1CC,0,0xaf3465f6,"{'function_name': 'BuyItem', 'inputs': (<Function BuyItem()>, {})}"
3120,0x4b88ca36d55026b84d87cd54193a531197904b40db8a5bdb20f823865abfcd45,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0xE2DB813E8F0E0D88205ff29bf45904831529B1CC,0,0xaf3465f6,"{'function_name': 'BuyItem', 'inputs': (<Function BuyItem()>, {})}"
3121,0x53150de4bcc1cc88fc0078d0c4d62a7b652625fe2c1b0b7fc5b6b541d9e2e39e,0x666474a318918123e27b9d6f1283528C88f97827,0xE2DB813E8F0E0D88205ff29bf45904831529B1CC,0,0xaf3465f6,"{'function_name': 'BuyItem', 'inputs': (<Function BuyItem()>, {})}"
