Block Number,Tx Hash,From,To,Value,Data,Deocde_data
2971,0x03b308ac54d7d4901affcf4b425a23fb8c9d106c1e2f0ea9450a90a731e15707,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0x7D2F3a3B5F0bE85Db65e9EDBB4f3BbE9b38D676D,0,0xaf3465f6,"{'function_name': 'UpdateBalance', 'inputs': (<Function UpdateBalance(address,address,int256)>, {'sellerParty': '0x934e8d68E0b5B49054dad167564A4E044F4aDF58', 'buyerParty': '0x666474a318918123e27b9d6f1283528C88f97827', 'itemPrice': 9})}"
2973,0x83b3940b3feea2c068e5861e4db18b6dcbd52f56ef2f5f23eb5b08c776bb6ca5,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0x7D2F3a3B5F0bE85Db65e9EDBB4f3BbE9b38D676D,0,0xaf3465f6,"{'function_name': 'UpdateBalance', 'inputs': (<Function UpdateBalance(address,address,int256)>, {'sellerParty': '0x934e8d68E0b5B49054dad167564A4E044F4aDF58', 'buyerParty': '0x666474a318918123e27b9d6f1283528C88f97827', 'itemPrice': 3})}"
2975,0x1002bfa5671dee5b7e28808a0d2d6c3e09ac394342fc05fba919d162a6902489,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0x7D2F3a3B5F0bE85Db65e9EDBB4f3BbE9b38D676D,0,0xaf3465f6,"{'function_name': 'UpdateBalance', 'inputs': (<Function UpdateBalance(address,address,int256)>, {'sellerParty': '0x934e8d68E0b5B49054dad167564A4E044F4aDF58', 'buyerParty': '0x666474a318918123e27b9d6f1283528C88f97827', 'itemPrice': 8})}"
