Block Number,Tx Hash,From,To,Value,Data,Deocde_data
3152,0x503c9dfe90189c48e6f6310465bb7a1e44b45e0d2354f5febad6e7ff75443d89,0x666474a318918123e27b9d6f1283528C88f97827,0xfD97cC0D623E62bf893A20379EC85dDb5b609A72,0,0xaf3465f6,"{'function_name': 'ListItem', 'inputs': (<Function ListItem(string,int256)>, {'itemName': '2', 'itemPrice': 4})}"
3156,0x38666240b90b3c7a70c5898e417d111c8290ce4968381eebf41c561bc0fb765f,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0xfD97cC0D623E62bf893A20379EC85dDb5b609A72,0,0xaf3465f6,"{'function_name': 'UpdateBalance', 'inputs': (<Function UpdateBalance(address,address,int256)>, {'sellerParty': '0x666474a318918123e27b9d6f1283528C88f97827', 'buyerParty': '0x934e8d68E0b5B49054dad167564A4E044F4aDF58', 'itemPrice': 5})}"
3158,0xeca26a0a6e2697ecbaf2ee4d1e735621847d393a317f0b5c8ed057b564929cf1,0x934e8d68E0b5B49054dad167564A4E044F4aDF58,0xfD97cC0D623E62bf893A20379EC85dDb5b609A72,0,0xaf3465f6,"{'function_name': 'UpdateBalance', 'inputs': (<Function UpdateBalance(address,address,int256)>, {'sellerParty': '0x666474a318918123e27b9d6f1283528C88f97827', 'buyerParty': '0x934e8d68E0b5B49054dad167564A4E044F4aDF58', 'itemPrice': 8})}"
