Block Number,Tx Hash,From,To,Value,Data,Deocde_data
2191,0xd2a4c34f952afdde25e43d4850b527ca355c206b941e3dfad73e3149a868f56b,0x3F8306Adf9DDa2E06Fd068CA44220756d9FDeF65,0xf10318A620ccd7E5a75B7BC76b36Fb7D746282d1,0,0x32226cde00000000000000000000000035fa38d6e01f98b5e9f7672b0294177388bb381e,"{'function_name': 'IngestTelemetry', 'inputs': (<Function IngestTelemetry(int256,int256,int256)>, {'humidity': 886, 'temperature': 457, 'timestamp': 108})}"
2192,0xaf9ce7cfd70c1c691b2eed7c40cf6d2c08cc45e33a5e00434c114a7bd5c319f7,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0xf10318A620ccd7E5a75B7BC76b36Fb7D746282d1,0,0x32226cde00000000000000000000000064dfeae370c5174b3595dbb1dc04651595b7da37,"{'function_name': 'TransferResponsibility', 'inputs': (<Function TransferResponsibility(address)>, {'newCounterparty': '0x35fA38D6e01F98B5e9f7672b0294177388BB381e'})}"
2193,0x4b4cab398e72853552588542eb4621edddcdf0e886587db00dd07799b50eb87d,0x606Ec1CA1C986462C52bDE7Bb7F694DB08c1Af72,0xf10318A620ccd7E5a75B7BC76b36Fb7D746282d1,0,0x01b7dcb4,"{'function_name': 'TransferResponsibility', 'inputs': (<Function TransferResponsibility(address)>, {'newCounterparty': '0x64DFEAe370C5174B3595dBb1DC04651595b7Da37'})}"
