Block Number,Tx Hash,From,To,Value,Data,Deocde_data
2041,0xfe27a88929a4a08b7c898b20ea5b1c3b3eee1808d74c39c0c9ca8032bd53829f,0x03Db6D217C76E42138A1d8125c9e06eD591e08b2,0x6A36005c7e67b1974f3B48BE22c7dC281be48F55,0,0x85b44a26000000000000000000000000000000000000000000000000000000000000014d,"{'function_name': 'AcceptOffer', 'inputs': (<Function AcceptOffer()>, {})}"
2042,0x4f7b6c8342c403d561ebcafadbe9b617b48a6f3b81738871d1296618820302c4,0x3F8306Adf9DDa2E06Fd068CA44220756d9FDeF65,0x6A36005c7e67b1974f3B48BE22c7dC281be48F55,0,0xcba59827,"{'function_name': 'MakeOffer', 'inputs': (<Function MakeOffer(int256)>, {'offerPrice': 333})}"
2043,0xe51879ef172662a0679f8df3d835c01c010698cbd3385d6c8988233749045bf3,0x3F8306Adf9DDa2E06Fd068CA44220756d9FDeF65,0x6A36005c7e67b1974f3B48BE22c7dC281be48F55,0,0xd12cd942,"{'function_name': 'Reject', 'inputs': (<Function Reject()>, {})}"
