Block Number,Tx Hash,From,To,Value,Data,Deocde_data
1985,0xf463b36ca02010d941674ad9e2ed0d79743deeca12b9b8297178f5578642c367,0x20E646cA24A51E324aD07644245a07fEed0426C2,0xEE0662e14a9c1935E78Fd177d8e39D5A2Ea7c702,0,0x85b44a2600000000000000000000000000000000000000000000000000000000000000d0,"{'function_name': 'AcceptOffer', 'inputs': (<Function AcceptOffer()>, {})}"
1986,0xad0d8a5a17de135e499193235faaa5113c82ffcfcf99384e9d5621bda0ce304c,0x3F8306Adf9DDa2E06Fd068CA44220756d9FDeF65,0xEE0662e14a9c1935E78Fd177d8e39D5A2Ea7c702,0,0xcba59827,"{'function_name': 'MakeOffer', 'inputs': (<Function MakeOffer(int256)>, {'offerPrice': 208})}"
1987,0xb2af5a8e4c77dee41a04b45d38b9b41d307680856c62780338ec2621d72a5adf,0x3F8306Adf9DDa2E06Fd068CA44220756d9FDeF65,0xEE0662e14a9c1935E78Fd177d8e39D5A2Ea7c702,0,0xd12cd942,"{'function_name': 'Reject', 'inputs': (<Function Reject()>, {})}"
